8yW5dA2t6r9e,カンガルーのふわふわな友だち,ふわふわのカンガルー、ルビーは森の中で新しい友だちを探しています。彼女はキツネ、コアラ、そしてウサギたちと出会い、一緒に遊んだり、冒険をしたりします。ルビーの優しさが、仲間たちとの絆を深めていく様子が描かれています。最終的に、ルビーは友だちとの大切な思い出を作ることに成功します。,三浦 由紀子,彩雲出版,2019-06-12,1400,160,"9784956270134",http://vsv-peridot.skygroup.local/my-books/images/8yW5dA2t6r9e.jpg
dZ8n4W9x1q2r,カンガルーの影,オーストラリアの小さな町で、カンガルーが消える事件が発生する。町の探偵であるアダムは、数匹のカンガルーが一晩で消えてしまったことに気づく。彼は町の住人たちから証言を集め、様々な手がかりを追う中で、思わぬ真実にたどり着く。果たして、カンガルーたちはどこに行ってしまったのか？　そして、アダムの推理は真実に辿り着けるのか？,井上 真吾,新風社,2015-08-23,2100,230,"9784987521083",http://vsv-peridot.skygroup.local/my-books/images/dZ8n4W9x1q2r.jpg
jX4cF3qR9k7v,カンガルーの足跡,オーストラリアの先住民族アボリジニの文化とカンガルーとの関わりを探る本。カンガルーがどのように彼らの生活や神話に影響を与え、また彼らがどのようにカンガルーを尊重してきたのかを深く掘り下げます。カンガルーの生態とアボリジニの歴史的背景を融合させ、豊かな文化遺産を紹介します。,河合 千尋,風の音出版,2012-04-11,2800,350,"9784598160234",http://vsv-peridot.skygroup.local/my-books/images/jX4cF3qR9k7v.jpg
R6q9G1nT5p8x,月のカンガルー,夜空に現れる神秘的なカンガルーが、村に訪れると、人々の夢を運ぶことができると信じられていた。若い少女アリスは、夢を叶えるためにカンガルーに会いに行く決心をする。しかし、彼女は夢を実現するためには大きな試練を乗り越えなければならないことに気づく。冒険を通じて、アリスは自分の力と勇気を見つけ出す。,佐々木 遥,星海社,2005-12-19,1800,200,"9784798195433",http://vsv-peridot.skygroup.local/my-books/images/R6q9G1nT5p8x.jpg
A7s2Y8gX4e1k,カンガルー王国の秘密,遠い世界に存在するカンガルー王国は、緑豊かな草原と美しい湖に囲まれています。しかし、王国には古代の魔法が封印されていることが判明。若き勇者フィンは、友人たちと共にその魔法を解き放つための旅に出ます。道中で出会う仲間や困難を乗り越えながら、真の友情の意味を学んでいきます。,松本 愛,銀河書房,2018-07-30,2400,410,"9784758190197",http://vsv-peridot.skygroup.local/my-books/images/A7s2Y8gX4e1k.jpg
sP3gT9nF2r8d,カンガルーの暗号,オーストラリアの小さな町で、古い地図が見つかる。その地図には、失われた宝物の場所が示されており、カンガルーがその鍵を握っていることが明らかになる。若き探偵リサは、友人たちと共にこの暗号を解読し、宝物を探し始める。様々な謎を解き明かしながら、真実に近づいていく彼女たちの冒険が描かれます。,"青山 涼, 高橋 和也",東風社,2016-03-27,1700,290,"9784876201357",http://vsv-peridot.skygroup.local/my-books/images/sP3gT9nF2r8d.jpg
jV6tK2fQ8m3z,カンガルーの遺産,名士が残した遺産を巡って、さまざまな勢力が動き出す。カンガルーにまつわる古代の秘密が隠されているとされ、主人公のエミリーは自ら調査を始める。友人や敵との駆け引き、そして信じられないような真実が次々と明らかになっていく。果たして、彼女はこの遺産を守ることができるのか？,藤原 結衣,流星堂,2023-11-15,2300,380,"9784987629018",http://vsv-peridot.skygroup.local/my-books/images/jV6tK2fQ8m3z.jpg
3hZ2L9wA4k5r,カンガルーの星,科学者たちはカンガルーを新しい星に送り込む計画を立て、彼らが持つ未知の能力を解明しようと試みます。しかし、カンガルーたちは意外にも自らの知恵と勇気で新しい星を開拓し、人類と共存できる道を模索します。彼らの行動が宇宙での人間社会に新たな風をもたらす様子が描かれ、環境問題や倫理観についても考察されます。,"西山 航, 田中 悠",宇宙社,2020-09-14,2700,450,"9784569232019",http://vsv-peridot.skygroup.local/my-books/images/3hZ2L9wA4k5r.jpg
nQ7tR1xY3p9k,カンガルーのハート,自然保護区でボランティアをする大学生のサラは、カンガルーを研究する青年、マークと出会う。彼らは共にカンガルーの保護活動に励むうちに、次第に惹かれ合っていく。しかし、マークには過去のトラウマがあり、サラは彼を助けようと奮闘します。カンガルーを通じて絆を深め、愛の力がどのように人を変えていくのかが描かれます。,木下 咲,未来館出版,2022-04-10,1600,210,"9784868327126",http://vsv-peridot.skygroup.local/my-books/images/nQ7tR1xY3p9k.jpg
rJ4fM8dT5z2e,カンガルーの世界,カンガルーに関するすべてがわかる図鑑。生態、習性、生活環境などを詳細に解説し、写真やイラストを豊富に使用しています。また、オーストラリアの文化におけるカンガルーの位置づけや、保護活動の重要性にも触れています。カンガルーの驚くべき能力とその存在意義を深く理解できる一冊です。,上田 光,太陽社,2011-10-05,3200,500,"9784598210731",http://vsv-peridot.skygroup.local/my-books/images/rJ4fM8dT5z2e.jpg

