h2bK65jS9f3h,マンドリルの色彩,この絵本では、マンドリルの色鮮やかな顔とユニークな習性が紹介されます。マンドリルたちは森の中でさまざまな遊びを楽しんでおり、その中で友情や思いやりを学びます。各ページでは、マンドリルの特性が鮮やかなイラストで描かれ、子どもたちが楽しく学べる内容となっています。,高橋 直樹,明日香出版,2023-04-15,1500,32,"9784573018231",http://vsv-peridot.skygroup.local/my-books/images/h2bK65jS9f3h.jpg
cR9G6f2a3W4d,消えたマンドリルの秘密,森の中で起こったマンドリルの失踪事件。主人公の探偵は、マンドリルたちの仲間と共に手がかりを追い求めます。彼らは失踪の背後にある陰謀を解き明かし、マンドリルの特性を活かしながら真相に迫ります。果たして、失われた友を取り戻すことはできるのか？,"佐藤 健一,山田 美穂",月刊探偵社,2022-06-10,2100,280,"9784091234567",http://vsv-peridot.skygroup.local/my-books/images/cR9G6f2a3W4d.jpg
Yg5f9wT4e8Qx,古代マンドリルの足跡,マンドリルは、古代の歴史の中でどのように生きてきたのかを探るこの一冊。考古学者が発見した遺跡から、マンドリルの祖先の生活や社会構造が明らかになります。古代の文化や習慣、また彼らがどのように進化してきたのかが詳しく解説されており、マンドリルの魅力を再発見できます。,藤原 明,歴史出版,2021-09-05,1800,150,"9784113012345",http://vsv-peridot.skygroup.local/my-books/images/Yg5f9wT4e8Qx.jpg
hA7P4tX8u2S1,マンドリルの魔法の森,マンドリルたちが住む森は、魔法が満ちた不思議な場所。しかし、ある日、森の魔法が消えかけてしまいます。主人公のマンドリル「カイ」は、仲間たちと共に森を救うための冒険に出かけます。魔法の源を探しながら、様々な生き物たちと出会い、友情や勇気の大切さを学びます。,中村 奈美,ファンタジー文庫,2024-01-12,1600,250,"9784203012456",http://vsv-peridot.skygroup.local/my-books/images/hA7P4tX8u2S1.jpg
qY1W9dX3z8L4,マンドリルと空の王国,空の王国に住むマンドリルたちが、地上の友達と心を通わせながら、空を飛ぶ夢を追いかけます。しかし、空を飛ぶためには試練を乗り越えなければなりません。マンドリルたちは、勇気を出して冒険の旅に出ることに。友情と成長をテーマにした物語が展開されます。,川村 修平,未来創造社,2022-02-20,1900,220,"9784283013457",http://vsv-peridot.skygroup.local/my-books/images/qY1W9dX3z8L4.jpg
Yg2f6H4e1R3v,マンドリルの消えた宝物,森の奥で大切な宝物が消えてしまった！マンドリルの「ミル」は、仲間たちと共にその謎を解き明かすために動き出します。次々と現れる手がかりを追いながら、彼らは隠された真実に近づいていきます。果たして、ミルは宝物を見つけられるのか？,"加藤 友紀,山本 健",冒険文庫,2020-11-11,2000,300,"9784333012345",http://vsv-peridot.skygroup.local/my-books/images/Yg2f6H4e1R3v.jpg
Kp8T7mQ2e4H9,失われたマンドリルの記憶,突然、記憶を失ったマンドリルの「ナオ」。彼は自分が何者で、なぜ記憶を失ったのかを探る旅に出ます。途中で出会う仲間たちの助けを借りながら、彼は自身の過去に隠された秘密に近づいていきます。感動的な再生の物語が描かれています。,村上 純,感動文庫,2024-03-30,1700,280,"9784567890123",http://vsv-peridot.skygroup.local/my-books/images/Kp8T7mQ2e4H9.jpg
bU4W2hM7x9D5,宇宙マンドリルの冒険,未来の世界で、マンドリルたちは宇宙へと旅立ちます。新しい惑星を探検し、未知の生物と出会いながら、彼らは地球を守るための使命を果たそうとします。宇宙の神秘を感じながら、仲間たちとの絆を深めていく冒険の物語です。,田中 勇気,宇宙文庫,2023-07-14,2500,350,"9781234567890",http://vsv-peridot.skygroup.local/my-books/images/bU4W2hM7x9D5.jpg
fR6N1xQ5k8S4,マンドリルの恋の調べ,マンドリルの「リオ」は、同じ群れの美しいマンドリルに恋をしています。彼は彼女に自分の気持ちを伝えるために、特別な歌を作ることを決意します。しかし、彼女には別の恋人がいることを知り、心が揺れ動くリオ。果たして、彼の愛はどうなるのか？,"佐藤 誠,高橋 美奈",恋愛文庫,2022-05-05,1300,200,"9787894561234",http://vsv-peridot.skygroup.local/my-books/images/fR6N1xQ5k8S4.jpg
Tg8R2hX1f5W9,マンドリルの自然図鑑,この図鑑では、マンドリルの生態、習性、そして彼らが生息する環境について詳しく紹介しています。美しい写真とともに、マンドリルの社会構造や食生活、遊びの様子が解説されており、学びながら楽しむことができる内容になっています。自然の素晴らしさを感じさせる一冊です。,中島 美月,学び舎出版,2021-10-18,2400,400,"9784561237890",http://vsv-peridot.skygroup.local/my-books/images/Tg8R2hX1f5W9.jpg

タイトル: 「マンドリルの色彩」
ジャンル: 絵本
あらすじ: この絵本では、マンドリルの色鮮やかな顔とユニークな習性が紹介されます。マンドリルたちは森の中でさまざまな遊びを楽しんでおり、その中で友情や思いやりを学びます。各ページでは、マンドリルの特性が鮮やかなイラストで描かれ、子どもたちが楽しく学べる内容となっています。
表紙絵の表現: 表紙には、カラフルなマンドリルが元気よく木の枝をつかみ、微笑んでいる姿が描かれています。彼の顔には鮮やかな青と赤のストライプがあり、周囲には色とりどりの花や緑があふれ、生命感に満ちた森林の一コマが広がっています。

タイトル: 「消えたマンドリルの秘密」
ジャンル: 推理小説
あらすじ: 森の中で起こったマンドリルの失踪事件。主人公の探偵は、マンドリルたちの仲間と共に手がかりを追い求めます。彼らは失踪の背後にある陰謀を解き明かし、マンドリルの特性を活かしながら真相に迫ります。果たして、失われた友を取り戻すことはできるのか？
表紙絵の表現: 表紙には、探偵の帽子をかぶったマンドリルが、木の上でじっと何かを見つめる姿が描かれています。背後には霧がかかり、薄暗い森が広がり、不気味さを感じさせます。周囲には足跡が残され、ミステリーの雰囲気が漂うデザインになっています。

タイトル: 「古代マンドリルの足跡」
ジャンル: 歴史
あらすじ: マンドリルは、古代の歴史の中でどのように生きてきたのかを探るこの一冊。考古学者が発見した遺跡から、マンドリルの祖先の生活や社会構造が明らかになります。古代の文化や習慣、また彼らがどのように進化してきたのかが詳しく解説されており、マンドリルの魅力を再発見できます。
表紙絵の表現: 表紙には、古代の遺跡を背景に、マンドリルの祖先が描かれています。彼らは集団で生活し、食べ物を分け合ったり、仲間と遊んだりしています。細かい彫刻や絵画が背景に施され、歴史の重みを感じさせるデザインです。

タイトル: 「マンドリルの魔法の森」
ジャンル: ファンタジー小説
あらすじ: マンドリルたちが住む森は、魔法が満ちた不思議な場所。しかし、ある日、森の魔法が消えかけてしまいます。主人公のマンドリル「カイ」は、仲間たちと共に森を救うための冒険に出かけます。魔法の源を探しながら、様々な生き物たちと出会い、友情や勇気の大切さを学びます。
